	"rsem_out/AK-1_S27.R1.cutadapt.genes.results"	"rsem_out/AK-23_S1.R1.cutadapt.genes.results"	"rsem_out/AK-24_S2.R1.cutadapt.genes.results"	"rsem_out/AK-25_S3.R1.cutadapt.genes.results"	"rsem_out/AK-26_S4.R1.cutadapt.genes.results"	"rsem_out/AK-27_S5.R1.cutadapt.genes.results"	"rsem_out/AK-28_S6.R1.cutadapt.genes.results"	"rsem_out/AK-29_S7.R1.cutadapt.genes.results"	"rsem_out/AK-2_S28.R1.cutadapt.genes.results"	"rsem_out/AK-30_S8.R1.cutadapt.genes.results"	"rsem_out/AK-31_S9.R1.cutadapt.genes.results"	"rsem_out/AK-32_S10.R1.cutadapt.genes.results"	"rsem_out/AK-33_S11.R1.cutadapt.genes.results"	"rsem_out/AK-34_S12.R1.cutadapt.genes.results"	"rsem_out/AK-35_S13.R1.cutadapt.genes.results"	"rsem_out/AK-36_S14.R1.cutadapt.genes.results"	"rsem_out/AK-37_S15.R1.cutadapt.genes.results"	"rsem_out/AK-38_S16.R1.cutadapt.genes.results"	"rsem_out/AK-39_S17.R1.cutadapt.genes.results"	"rsem_out/AK-40_S18.R1.cutadapt.genes.results"	"rsem_out/AK-41_S19.R1.cutadapt.genes.results"	"rsem_out/AK-42_S20.R1.cutadapt.genes.results"	"rsem_out/AK-43_S21.R1.cutadapt.genes.results"	"rsem_out/AK-44_S22.R1.cutadapt.genes.results"	"rsem_out/AK-45_S23.R1.cutadapt.genes.results"	"rsem_out/AK-46_S24.R1.cutadapt.genes.results"	"rsem_out/AK-47_S25.R1.cutadapt.genes.results"	"rsem_out/AK-48_S26.R1.cutadapt.genes.results"	"rsem_out/AK-4_S29.R1.cutadapt.genes.results"	"rsem_out/AK-5_S30.R1.cutadapt.genes.results"	"rsem_out/SHC-17_S13.R1.cutadapt.genes.results"	"rsem_out/SHC-18_S14.R1.cutadapt.genes.results"	"rsem_out/Undetermined_S0.R1.cutadapt.genes.results"
"GBI_11087"	53.97	0.00	0.00	69.12	78.54	16.72	14.26	36.07	16.87	10.29	62.65	47.11	70.05	6.33	7.33	21.07	9.19	38.89	58.28	63.24	7.96	34.45	17.92	67.91	47.13	80.75	3.87	14.04	58.87	0.00	8.67	28.36	47.89
"GBI_11088"	242.36	599.86	87.71	41.72	40.18	67.58	168.34	165.61	190.93	319.89	36.01	42.89	33.18	64.80	138.35	263.75	233.03	94.20	42.78	74.43	302.54	125.33	380.99	79.35	54.37	46.11	191.86	208.22	83.37	0.00	291.34	92.10	146.94
"GBI_11089"	269.13	508.05	204.49	116.38	190.32	73.77	130.21	178.60	91.15	682.25	103.63	122.94	192.85	42.39	111.79	398.43	276.92	98.67	164.26	144.78	197.61	128.09	281.92	100.19	86.69	149.49	85.81	182.58	152.55	0.00	630.87	79.53	157.71
"GBI_11090"	19.02	0.00	18.35	32.49	64.29	3.38	14.29	41.12	22.23	62.26	28.60	36.05	45.52	1.85	7.67	39.59	5.41	16.82	29.60	37.24	3.12	9.97	7.43	30.24	26.83	42.36	3.45	9.98	46.86	0.00	48.30	8.54	29.10
"GBI_11091"	179.87	0.00	32.62	76.17	61.18	107.47	98.01	93.58	201.76	135.76	88.59	73.55	57.17	50.24	77.32	77.05	86.49	142.84	71.40	73.34	47.23	267.46	97.10	106.85	87.37	68.79	55.07	323.67	69.35	0.00	143.83	97.28	106.82
"GBI_11092"	273.13	207.89	60.80	82.30	126.45	64.13	8.61	30.32	69.64	39.57	74.00	68.98	73.82	74.53	10.93	88.63	211.02	59.21	79.70	251.89	94.44	109.98	169.39	71.71	147.58	106.86	77.31	115.48	103.64	0.00	22.02	25.17	110.59
"GBI_11093"	485.82	1324.58	193.69	254.35	163.32	587.69	653.57	196.94	330.51	510.14	199.70	257.51	185.94	796.12	761.95	84.58	450.73	428.28	227.63	248.39	668.06	603.45	465.10	288.73	266.87	203.88	457.10	751.83	277.51	0.00	613.84	395.04	347.99
"GBI_11094"	13.08	266.10	38.91	14.51	11.93	25.25	15.75	9.75	23.43	27.09	19.83	13.15	11.81	24.93	29.34	6.20	6.63	11.66	14.34	7.76	14.25	11.61	5.20	12.49	15.09	14.26	20.59	16.74	16.41	0.00	20.97	13.47	14.07
"GBI_11095"	291.87	0.00	152.20	92.56	53.91	173.76	213.09	40.65	115.42	317.87	37.42	101.29	79.26	234.41	225.49	26.42	651.30	66.00	92.67	54.80	302.51	93.74	833.30	54.33	93.62	40.18	204.39	102.22	120.62	0.00	276.86	87.18	204.52
"GBI_11096"	791.72	0.00	95.89	89.32	150.67	54.56	522.86	1127.38	412.63	63.58	156.16	79.13	101.86	126.61	695.90	504.17	74.75	162.00	62.84	153.55	186.84	427.21	101.67	278.53	118.08	126.56	180.32	305.52	156.41	0.00	42.97	218.47	261.54
"GBI_11097"	184.10	0.00	119.69	143.23	210.51	96.46	384.85	161.24	253.28	113.82	112.65	166.93	172.18	127.15	266.96	113.14	129.36	263.88	136.95	183.35	103.98	167.45	166.33	374.18	171.78	185.20	91.84	97.44	343.14	1471.15	82.95	208.75	188.86
"GBI_11098"	28.32	188.93	193.39	180.43	144.91	1184.60	426.34	174.62	113.46	165.22	96.78	257.84	187.62	1226.96	441.53	202.03	40.86	89.25	247.48	137.47	406.56	394.75	16.43	54.82	241.50	156.19	592.54	144.90	183.21	0.00	135.73	110.49	171.38
"GBI_11099"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.69	0.00	0.00
"GBI_11100"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_11101"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_11102"	0.00	0.00	0.00	0.80	0.00	1.30	0.00	0.00	0.00	0.00	0.00	0.00	0.35	0.00	0.50	0.00	0.00	0.00	0.67	0.00	0.00	1.15	0.00	0.00	1.29	0.59	0.00	0.54	0.00	0.00	0.00	0.12	0.30
"GBI_11103"	0.00	0.00	0.00	4.48	33.48	0.00	0.00	4.60	0.00	0.00	4.05	10.87	13.24	0.00	0.00	8.78	0.00	0.00	17.51	5.70	0.00	0.00	0.00	0.00	9.70	7.72	0.00	2.05	10.14	0.00	0.00	0.90	2.22
"GBI_11104"	188.42	0.00	195.60	137.82	153.38	252.78	201.57	396.53	226.43	194.88	230.87	159.14	173.02	184.57	206.86	472.78	170.77	236.91	148.95	243.51	242.17	226.48	211.77	316.68	160.90	178.99	157.71	293.05	188.04	0.00	155.14	131.48	222.51
"GBI_11105"	40.68	0.00	2017.72	3734.70	172.20	161.56	328.00	42.71	25.17	102.80	86.26	4495.40	321.19	135.32	197.04	5.17	183.36	96.05	5259.59	402.41	564.32	30.44	316.69	151.03	5104.98	440.00	421.56	14.73	94.08	0.00	57.38	21.68	875.43
"GBI_11111"	15.52	0.00	38.36	62.02	54.92	43.95	99.98	30.39	49.49	24.93	21.14	74.32	65.28	53.05	115.19	26.06	27.57	95.07	84.31	56.18	82.13	49.06	26.72	47.34	68.10	38.17	18.64	57.52	62.11	0.00	19.49	108.47	48.44
"GBI_11112"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.13	0.00	0.56	1.00	0.00	0.35	0.00	0.00	0.00	0.71	0.00	0.00	0.00	0.00	0.00	1.10	0.00	0.00	0.00	0.00	0.00	0.37	0.00	0.21
"GBI_11113"	0.00	0.00	0.00	0.00	0.00	3.01	0.00	0.00	0.00	0.00	53.93	0.00	0.00	0.00	0.00	0.00	0.00	15.06	0.00	0.00	0.00	2.34	0.00	0.37	1.50	0.00	0.00	0.00	0.00	0.00	0.00	52.38	3.43
"GBI_11114"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.71	0.00	0.00	0.00	0.00	0.00	0.34	0.95	0.00	0.00	0.00	0.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.75	0.00
"GBI_11115"	0.00	0.00	0.00	0.00	1.36	0.00	0.00	0.00	0.00	0.00	9.97	0.00	0.00	0.00	0.00	0.00	0.00	1.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.44	1.22
"GBI_11116"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_11137"	0.00	691.36	0.00	10.33	8.57	14.38	6.36	3.40	4.98	3.69	3.99	4.38	7.18	6.36	6.45	0.00	0.80	13.39	6.77	10.67	29.29	6.38	0.30	7.05	5.73	7.62	7.76	7.04	8.54	0.00	1.94	21.59	5.46
"GBI_11138"	75.08	0.00	89.00	105.42	281.19	100.05	25.23	108.71	147.15	11.09	133.83	130.44	165.15	53.18	9.74	212.63	5.36	100.13	115.18	199.86	40.01	84.83	7.64	215.90	102.95	219.04	150.34	38.64	235.34	0.00	11.32	69.32	150.95
"GBI_11139"	56.62	0.00	61.47	64.28	46.95	22.39	50.24	34.82	36.06	44.66	25.63	60.87	63.43	15.30	64.09	14.06	76.50	32.92	71.79	41.49	29.47	40.79	67.67	24.86	55.29	40.47	10.83	51.36	34.51	0.00	35.10	28.80	43.67
"GBI_11140"	54.22	0.00	114.12	133.45	144.51	33.50	59.09	149.63	114.31	38.07	131.41	132.59	113.05	10.03	44.44	184.87	35.00	204.98	142.15	161.67	26.89	166.67	28.40	191.15	131.70	137.27	4.08	162.48	118.60	0.00	15.80	139.86	107.85
"GBI_11142"	0.00	0.00	0.00	0.76	0.00	0.00	0.00	0.00	1.03	0.00	0.00	0.00	0.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_11143"	0.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_11144"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_11145"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_11146"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_11147"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.38	0.00	0.00	0.00	0.00	0.00	0.86	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.85	0.44	1.09
"GBI_11148"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_11150"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_11151"	1.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_11152"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.55	0.00	0.00
"GBI_11153"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_11154"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_11155"	0.00	0.00	0.00	10.60	5.28	0.00	0.00	0.00	0.00	0.00	1.44	11.24	0.00	0.00	0.00	0.00	0.00	0.00	10.66	3.24	0.00	0.00	0.00	0.00	4.14	3.13	0.00	0.00	2.06	0.00	0.00	0.00	1.58
"GBI_11156"	9.84	0.00	0.00	1.78	2.11	10.72	3.28	0.00	0.69	1.52	1.20	0.17	1.35	8.75	2.22	0.00	3.04	0.58	0.21	2.71	3.66	1.65	3.68	0.00	0.49	2.06	5.34	0.00	0.73	0.00	2.17	1.59	1.88
"GBI_11157"	0.00	0.00	0.00	0.00	6.39	0.00	0.00	0.00	0.00	0.00	1.74	0.00	5.78	0.00	0.00	0.00	0.00	0.00	0.00	0.98	0.00	0.00	0.00	0.00	1.67	6.63	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_11158"	0.00	0.00	0.00	0.00	1.19	2.34	0.00	0.00	0.00	0.72	0.00	0.00	1.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.06	3.78	0.00	0.00	0.00	0.00	0.43	0.00
"GBI_11159"	96.44	468.43	68.50	17.05	8.52	15.42	52.26	19.19	20.58	131.04	4.07	17.81	10.63	52.75	64.95	7.75	120.21	14.56	17.12	7.81	85.66	9.19	142.06	12.75	19.61	4.25	69.65	11.25	16.88	0.00	110.97	10.22	38.31
"GBI_11160"	13.65	0.00	0.00	2.71	4.49	6.59	8.75	1.04	65.75	15.56	18.31	4.01	3.59	8.75	12.68	1.19	27.23	95.66	1.14	2.58	7.33	172.70	41.66	53.36	0.88	2.03	0.00	293.44	1.75	0.00	20.44	31.31	22.04
"GBI_11161"	0.53	0.00	0.00	5.93	3.28	2.14	1.42	0.00	0.00	0.66	0.89	3.48	3.50	0.00	0.82	0.00	0.00	0.00	4.40	1.50	0.00	0.00	0.00	0.00	2.13	0.97	0.00	0.00	6.35	0.00	0.00	0.59	1.46
"GBI_11162"	46.00	0.00	91.41	212.79	187.69	11.18	80.10	139.68	13.09	42.81	22.61	190.14	195.01	10.99	132.13	2.53	14.06	29.36	203.83	166.79	10.01	52.32	29.01	21.86	169.43	154.16	9.29	8.12	195.75	0.00	49.35	21.44	143.49
"GBI_11163"	0.00	0.00	0.00	0.48	0.00	1.55	0.00	7.30	1.93	0.48	3.22	1.26	4.21	12.30	4.75	0.00	0.00	3.24	0.79	6.16	5.15	3.77	0.00	0.38	12.95	7.73	5.00	0.00	1.84	0.00	0.31	0.00	0.70
"GBI_11164"	4.73	0.00	0.00	129.50	42.83	16.49	59.75	37.16	16.33	13.28	12.96	161.30	85.75	8.41	55.60	0.46	11.48	71.47	174.12	28.57	11.27	19.14	13.56	62.54	163.48	35.47	2.05	26.62	48.96	0.00	13.84	25.29	52.90
"GBI_11165"	0.00	0.00	0.00	36.16	22.49	0.00	0.00	2.32	0.00	0.00	6.12	27.90	12.01	0.00	1.89	0.00	0.00	10.28	37.81	10.34	0.00	0.00	0.00	15.64	22.49	10.00	0.00	0.00	13.14	0.00	0.00	1.81	14.56
"GBI_11167"	1.25	0.00	0.00	2.58	1.29	0.00	0.00	0.00	2.09	0.00	0.00	2.38	0.00	0.00	0.64	0.00	0.00	1.17	2.16	0.00	0.00	0.00	0.00	4.52	2.34	1.14	0.00	0.70	0.00	0.00	0.00	0.00	1.15
"GBI_11168"	0.00	0.00	533.19	0.00	0.00	0.00	297.90	1872.37	5.26	0.00	0.00	0.00	0.00	0.00	85.07	4.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.88	0.00	0.00	1.74	37.46
"GBI_11171"	0.00	0.00	0.00	6.25	5.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.71	2.38	0.00	2.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_11172"	122.56	452.38	198.45	130.74	208.79	609.16	64.00	87.47	239.11	305.02	140.06	148.20	208.55	422.09	82.92	71.49	72.31	137.89	149.24	182.05	303.03	129.33	67.30	171.85	117.70	198.55	472.10	104.68	280.82	0.00	305.79	74.07	195.17
"GBI_11173"	0.94	0.00	160.11	8.16	4.84	0.00	0.00	5.38	3.16	0.00	0.00	5.39	7.23	0.00	0.00	8.20	1.27	3.53	5.85	3.55	0.00	13.48	0.00	2.79	9.07	6.02	0.00	1.59	3.38	0.00	0.00	1.40	6.06
"GBI_11174"	0.00	0.00	0.00	6.45	3.57	0.00	0.00	6.64	0.00	0.00	0.00	1.43	3.82	0.00	0.00	1.27	0.00	4.90	16.24	8.22	0.00	1.56	0.00	10.33	8.40	3.18	0.00	2.96	0.00	0.00	0.00	0.65	4.82
"GBI_11175"	38.96	0.00	66.93	114.34	75.16	76.14	182.35	122.12	163.33	68.42	32.00	135.56	93.28	109.37	235.04	52.32	63.57	149.32	111.23	70.57	114.16	178.15	58.94	50.83	134.26	73.48	67.27	316.65	129.06	0.00	65.83	71.63	96.18
"GBI_11176"	0.00	0.00	0.00	0.00	2.01	0.00	0.00	8.83	0.00	0.00	1.11	3.82	0.00	0.00	0.00	11.86	0.46	3.42	2.57	0.69	0.00	1.88	0.00	4.62	5.43	3.37	0.00	0.00	3.66	0.00	0.00	0.92	2.88
"GBI_11177"	53.69	0.00	29.49	39.86	26.24	86.68	56.83	17.36	161.79	16.26	46.93	48.25	33.11	165.45	54.59	7.31	82.23	58.97	39.75	18.80	119.17	145.52	84.48	27.72	51.69	26.10	80.90	175.38	36.75	0.00	19.08	65.95	54.91
"GBI_11178"	0.00	0.00	0.00	0.00	2.42	0.00	0.00	0.00	0.00	0.00	3.95	3.85	5.16	0.00	0.00	0.00	0.79	0.00	3.66	8.89	0.00	0.00	1.21	0.00	1.89	9.67	0.00	0.00	2.82	0.00	0.00	0.44	5.41
"GBI_11179"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_11180"	2.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.17	0.00	0.00	0.00	0.00	0.00	0.55	0.00	0.00	0.00	0.00	0.91	0.00	0.00	0.00	0.00	0.00
"GBI_11181"	43.63	0.00	228.82	394.63	268.24	73.51	270.32	141.88	157.60	64.75	35.09	448.85	324.92	90.98	408.01	14.47	79.29	126.27	416.75	228.55	124.58	119.49	66.87	105.89	414.09	205.22	88.14	86.88	294.41	1411.90	79.94	74.04	199.75
"GBI_11182"	0.00	0.00	0.00	0.00	3.63	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.17	0.00	1.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.17	1.90	5.39	0.00	0.00	0.00	0.00	0.00	0.88	1.09
"GBI_11183"	4.21	0.00	0.00	0.58	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.03	0.00	0.00	0.00	1.26	0.00	1.45	0.00	0.00	0.00	0.96	0.00	0.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_11184"	64.14	0.00	17.82	6.79	7.58	12.67	13.17	4.68	12.14	15.09	5.91	5.79	6.28	11.20	12.83	3.88	66.05	11.32	9.67	7.63	17.36	11.53	98.91	12.85	9.08	6.54	19.14	7.27	13.32	0.00	11.70	9.15	25.68
"GBI_11185"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.01	0.00	0.00	0.00	0.00	0.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_11186"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.60	0.80	0.00	0.00	0.00	0.00	0.00	0.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_11187"	17.87	0.00	78.79	153.20	68.81	84.50	96.83	46.36	96.99	41.57	41.98	149.66	99.80	80.47	87.99	17.29	39.29	85.79	155.52	39.98	123.92	93.35	27.99	63.06	144.82	40.51	43.07	136.24	76.68	0.00	27.85	94.39	70.14
"GBI_11188"	2.54	0.00	0.00	28.32	29.36	0.00	3.39	12.07	1.06	0.79	36.72	21.79	26.44	0.00	0.00	0.46	1.71	13.08	24.95	40.72	2.84	2.84	2.60	20.67	19.36	59.16	0.00	1.07	7.59	0.00	0.00	1.17	14.56
"GBI_11190"	143.87	134.36	58.94	127.64	120.87	96.40	81.59	56.37	52.83	96.56	63.69	151.10	167.52	66.07	106.04	32.98	175.17	92.78	153.49	126.88	97.75	92.86	170.22	74.44	151.12	119.69	62.56	75.28	121.71	0.00	131.09	66.08	110.95
"GBI_11191"	124.69	601.45	58.63	66.96	57.13	363.42	95.92	23.33	47.64	77.28	45.54	73.31	69.40	790.60	94.88	8.01	637.65	47.11	61.31	40.30	286.33	35.79	550.62	27.81	83.24	45.07	356.57	40.56	54.28	0.00	90.35	99.30	154.61
"GBI_11192"	3.96	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.66	0.00	0.00	0.00	0.43	0.00	0.00	0.00	0.53	1.11	0.00	0.00	0.00	0.71	0.20	0.39	0.32	0.00	0.00	0.00	0.47	0.00	0.00	3.51	0.00
"GBI_11195"	31.32	0.00	61.11	25.81	23.50	5.79	8.33	17.58	16.05	1.64	19.86	30.72	23.46	5.76	7.24	20.36	20.90	24.41	31.06	25.63	8.04	17.37	15.38	28.33	24.59	21.21	4.69	18.04	29.25	0.00	2.34	18.86	22.12
"GBI_11196"	24.62	0.00	0.00	22.70	13.41	20.98	34.97	6.00	23.11	13.72	3.26	21.94	17.02	35.58	31.72	5.42	53.21	11.14	20.05	9.67	37.93	19.61	34.12	10.93	21.77	13.17	22.90	36.47	10.58	0.00	9.91	16.37	18.58
"GBI_11197"	0.31	0.00	0.00	0.00	0.00	0.00	0.83	0.00	0.00	0.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.28	0.00	0.00	0.00	0.00	1.01	0.11	0.00
"GBI_11198"	540.54	1021.93	199.24	335.22	237.19	216.08	191.20	233.85	370.91	40.37	317.00	304.48	320.38	126.84	155.31	200.62	377.83	282.42	310.02	226.40	225.59	242.49	389.97	182.25	306.35	245.43	97.49	242.43	357.72	3061.28	55.15	306.11	277.51
"GBI_11200"	0.00	0.00	0.00	7.09	3.92	0.00	0.00	0.00	0.00	0.00	0.00	23.54	20.17	0.00	0.00	0.00	0.00	0.00	11.91	1.81	0.00	0.00	0.00	0.00	6.90	1.12	0.00	0.00	2.94	0.00	0.00	0.00	6.99
"GBI_11201"	82.51	238.36	34.86	119.80	110.51	244.66	188.51	68.89	290.96	17.65	84.90	108.40	78.99	338.49	122.61	28.46	121.56	140.70	134.76	124.97	378.14	331.32	120.37	124.15	128.87	117.69	241.02	392.83	94.97	0.00	20.68	151.15	129.11
"GBI_11203"	33.15	0.00	25.57	42.88	25.00	12.73	16.09	47.58	27.20	29.13	21.51	45.35	29.78	6.43	10.49	111.97	63.55	38.98	45.07	28.33	28.95	17.90	55.83	46.28	38.01	21.52	23.29	23.16	27.91	0.00	21.08	16.27	32.20
"GBI_11204"	64.60	106.44	77.83	177.64	81.85	142.21	87.04	57.75	77.33	22.11	56.02	217.66	118.80	53.32	85.29	77.66	48.42	125.52	207.54	80.43	56.95	108.70	51.95	111.48	207.62	71.04	29.86	115.01	98.34	0.00	21.34	91.00	96.98
"GBI_11205"	0.49	0.00	64.34	190.20	53.09	3.58	0.00	0.00	0.00	0.97	2.98	227.85	110.03	2.62	0.76	5.80	1.52	0.28	237.67	34.60	0.44	0.53	1.71	0.19	264.65	42.30	1.28	0.00	145.19	1023.95	0.96	1.23	50.42
"GBI_11206"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_11207"	0.00	0.00	0.00	2.07	0.57	0.00	0.00	0.00	0.00	0.00	0.00	10.92	4.88	0.00	0.00	0.00	0.00	0.00	14.97	1.05	0.00	0.00	0.00	0.00	7.59	0.51	0.00	0.00	2.00	0.00	0.00	0.00	1.02
"GBI_11208"	1.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.95	0.00	0.00	0.00	0.42	0.00	0.00	0.00	0.00	0.00	0.00	0.89	0.00	0.94	0.00	0.00	0.00	0.00	0.00	0.47	0.00	0.00
"GBI_11209"	1.75	0.00	74.08	151.35	137.64	22.83	1.55	0.00	349.97	34.44	11.98	156.95	126.67	12.42	1.35	0.21	1.08	5.32	175.89	151.75	18.20	470.46	2.76	2.16	162.46	127.90	2.84	2.46	224.78	0.00	28.76	12.53	98.48
"GBI_11210"	358.23	0.00	833.28	341.06	429.08	125.56	730.91	3301.55	573.35	68.69	1126.53	351.66	517.39	140.17	682.49	2999.70	223.70	966.44	377.86	767.31	263.20	429.84	214.66	1042.40	374.81	646.14	379.90	302.89	415.97	0.00	45.86	256.47	648.04
"GBI_11211"	48.76	0.00	59.05	76.78	60.67	41.35	57.63	67.25	59.58	39.08	54.82	83.77	71.27	24.29	58.14	69.64	31.99	86.30	85.39	59.18	34.30	77.60	27.85	78.04	80.23	59.21	18.65	72.41	65.84	0.00	28.71	65.30	60.20
"GBI_11212"	108.11	254.27	0.00	2.97	5.83	25.63	48.37	12.49	26.57	24.45	1.36	2.73	0.90	11.94	44.68	3.46	73.11	1.42	1.35	1.51	15.62	3.82	101.13	5.92	1.20	4.64	41.27	11.97	14.25	0.00	35.26	3.57	11.54
"GBI_11213"	158.32	0.00	129.34	29.04	32.82	46.26	49.32	50.91	110.60	310.21	36.09	24.66	22.34	48.27	43.17	125.44	118.02	42.05	22.43	34.72	109.49	66.34	144.97	56.59	32.55	30.72	131.35	64.64	44.37	0.00	244.42	43.83	75.37
