	"rsem_out/AK-1_S27.R1.cutadapt.genes.results"	"rsem_out/AK-23_S1.R1.cutadapt.genes.results"	"rsem_out/AK-24_S2.R1.cutadapt.genes.results"	"rsem_out/AK-25_S3.R1.cutadapt.genes.results"	"rsem_out/AK-26_S4.R1.cutadapt.genes.results"	"rsem_out/AK-27_S5.R1.cutadapt.genes.results"	"rsem_out/AK-28_S6.R1.cutadapt.genes.results"	"rsem_out/AK-29_S7.R1.cutadapt.genes.results"	"rsem_out/AK-2_S28.R1.cutadapt.genes.results"	"rsem_out/AK-30_S8.R1.cutadapt.genes.results"	"rsem_out/AK-31_S9.R1.cutadapt.genes.results"	"rsem_out/AK-32_S10.R1.cutadapt.genes.results"	"rsem_out/AK-33_S11.R1.cutadapt.genes.results"	"rsem_out/AK-34_S12.R1.cutadapt.genes.results"	"rsem_out/AK-35_S13.R1.cutadapt.genes.results"	"rsem_out/AK-36_S14.R1.cutadapt.genes.results"	"rsem_out/AK-37_S15.R1.cutadapt.genes.results"	"rsem_out/AK-38_S16.R1.cutadapt.genes.results"	"rsem_out/AK-39_S17.R1.cutadapt.genes.results"	"rsem_out/AK-40_S18.R1.cutadapt.genes.results"	"rsem_out/AK-41_S19.R1.cutadapt.genes.results"	"rsem_out/AK-42_S20.R1.cutadapt.genes.results"	"rsem_out/AK-43_S21.R1.cutadapt.genes.results"	"rsem_out/AK-44_S22.R1.cutadapt.genes.results"	"rsem_out/AK-45_S23.R1.cutadapt.genes.results"	"rsem_out/AK-46_S24.R1.cutadapt.genes.results"	"rsem_out/AK-47_S25.R1.cutadapt.genes.results"	"rsem_out/AK-48_S26.R1.cutadapt.genes.results"	"rsem_out/AK-4_S29.R1.cutadapt.genes.results"	"rsem_out/AK-5_S30.R1.cutadapt.genes.results"	"rsem_out/SHC-17_S13.R1.cutadapt.genes.results"	"rsem_out/SHC-18_S14.R1.cutadapt.genes.results"	"rsem_out/Undetermined_S0.R1.cutadapt.genes.results"
"GBI_06155"	78.56	0.00	15.59	19.27	14.46	0.82	8.87	6.11	21.27	13.79	5.68	17.84	9.42	0.00	8.56	1.95	13.69	6.93	16.46	13.21	4.76	10.15	26.00	9.69	23.38	11.04	7.78	6.60	15.15	0.00	9.06	7.13	11.83
"GBI_06156"	116.55	0.00	31.65	27.11	17.10	9.00	12.95	16.32	10.91	89.68	28.66	21.81	24.77	2.98	10.68	30.29	47.95	20.10	25.29	24.31	7.50	14.49	46.97	12.34	27.26	16.56	12.15	22.05	27.41	0.00	75.40	16.07	30.62
"GBI_06157"	80.95	98.68	43.91	122.33	44.89	137.58	163.80	58.18	38.67	143.06	42.82	148.00	74.14	164.17	149.51	55.56	170.64	97.37	161.34	50.60	300.73	56.68	145.74	63.18	149.89	48.26	59.76	77.43	72.94	0.00	166.29	109.69	100.27
"GBI_06158"	59.97	0.00	97.25	89.46	77.33	27.66	61.70	139.13	74.39	28.88	77.94	84.81	58.07	14.26	43.44	244.80	45.75	68.74	84.20	75.23	18.78	77.28	36.30	107.51	79.00	68.89	9.95	76.14	64.36	0.00	19.89	56.35	81.60
"GBI_06159"	28.68	0.00	77.97	61.61	63.00	29.57	51.16	33.96	32.58	17.24	27.51	85.67	81.87	25.20	62.76	12.89	69.29	158.48	69.70	66.73	32.25	26.91	66.47	356.82	57.53	62.59	17.52	7.87	68.76	0.00	12.39	30.40	67.95
"GBI_06160"	0.00	0.00	120.14	0.44	9.47	1.42	0.95	1.35	0.00	312.24	0.30	0.00	0.78	0.00	0.00	1.28	0.00	0.00	0.00	0.00	0.00	0.63	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	217.65	2.62	12.01
"GBI_06162"	0.00	0.00	0.00	0.45	0.00	0.00	0.00	0.00	0.00	0.00	0.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.33
"GBI_06164"	0.74	0.00	0.00	21.17	10.69	0.99	0.00	0.94	2.89	0.31	48.73	17.37	3.80	0.00	0.76	2.33	0.33	14.35	27.86	9.57	0.00	5.08	0.25	16.34	25.99	3.17	0.00	0.00	0.89	0.00	0.40	13.79	11.33
"GBI_06165"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_06167"	1.37	0.00	0.00	8.47	1.40	0.00	0.00	0.00	0.00	0.00	4.59	3.36	4.50	0.00	0.00	0.00	0.00	8.99	1.42	2.58	0.00	0.00	0.00	1.35	2.20	0.00	0.00	0.00	3.29	0.00	0.00	1.02	2.52
"GBI_06169"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.70	0.00	0.00	0.00	0.00	1.45	0.00	0.00	0.00	0.00	0.00	0.00	0.67	0.00
"GBI_06170"	18.50	0.00	133.66	186.17	71.03	47.12	22.87	2.62	12.34	41.73	54.41	154.91	114.79	28.35	11.42	0.30	13.42	143.03	138.48	68.74	22.43	49.33	26.84	41.71	156.29	27.50	3.85	5.65	63.98	0.00	25.63	291.04	61.66
"GBI_06171"	69.27	0.00	26.31	84.17	81.46	26.81	38.49	24.18	17.10	20.17	52.72	55.01	47.47	17.36	24.70	6.52	79.49	38.21	58.23	47.44	29.78	21.87	92.30	41.64	53.04	59.04	12.11	26.44	52.23	0.00	19.54	30.60	53.31
"GBI_06173"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"GBI_06174"	1.01	0.00	0.00	5.64	4.68	0.00	0.00	0.00	0.00	0.00	2.54	2.07	1.11	0.00	0.00	0.37	1.36	2.37	2.09	5.25	0.00	0.00	1.29	1.50	1.22	6.47	0.00	0.00	3.62	0.00	0.00	0.00	3.24
"GBI_06175"	367.49	411.76	541.56	190.97	256.69	89.09	215.89	662.84	389.66	321.65	560.64	215.44	261.84	54.87	180.50	1307.79	175.65	547.10	247.05	321.04	92.67	366.44	143.30	644.54	237.33	315.92	55.44	369.11	212.31	0.00	336.76	383.02	309.93
