Unnamed: 0,TaxId,Species,FamilyId,FamilyName,OrderId,OrderName,TSA,BioProject_id,Publication(PMID/DOI),lotus_hits,osk_hits,oskar_hits
65,1282025,Proasellus rectus,63227,Asellidae,29979,Isopoda,HAFI,PRJEB14193,None,"HAFI01031004.1_4,HAFI01031003.1_5,HAFI01031002.1_5,HAFI01036852.1_6,HAFI01060514.1_5,HAFI01060506.1_5,HAFI01060510.1_5",HAFI01072083.1_1,None
66,1282031,Proasellus solanasi,63227,Asellidae,29979,Isopoda,HAFJ,PRJEB14193,None,"HAFJ01030503.1_2,HAFJ01095191.1_3,HAFJ01058656.1_4",HAFJ01080001.1_4,None
67,1282033,Proasellus spelaeus,63227,Asellidae,29979,Isopoda,HAFK,PRJEB14193,None,"HAFK01041400.1_2,HAFK01025005.1_3,HAFK01025007.1_3,HAFK01044661.1_1",HAFK01057523.1_2,None
68,1281946,Proasellus beticus,63227,Asellidae,29979,Isopoda,HAFL,PRJEB14193,None,"HAFL01112690.1_4,HAFL01114466.1_3,HAFL01112683.1_5,HAFL01112686.1_6,HAFL01112693.1_5,HAFL01112681.1_5,HAFL01112684.1_5,HAFL01112695.1_5,HAFL01112689.1_4,HAFL01112694.1_5,HAFL01114467.1_3,HAFL01114465.1_3,HAFL01195035.1_3,HAFL01188454.1_3",None,None
69,52641,Gammarus pulex,36939,Gammaridae,6821,Amphipoda,HAFM,PRJEB13055,27222807,None,None,None
70,27404,Daphnia galeata,77658,Daphniidae,84337,Diplostraca,HAFN,PRJEB14950,None,"HAFN01005158.1_3,HAFN01005157.1_1,HAFN01005156.1_1,HAFN01008683.1_5,HAFN01022170.1_6,HAFN01027166.1_1,HAFN01001958.1_3,HAFN01004395.1_5,HAFN01022393.1_6",None,None
71,293153,Caridina multidentata,96235,Atyidae,6683,Decapoda,IABX,PRJDB4543,None,IABX01135283.1_6,"IABX01110673.1_4,IABX01091640.1_2,IABX01016774.1_4",None
72,142080,Ligia exotica,96854,Ligiidae,29979,Isopoda,IABZ,PRJDB4544,None,IABZ01110144.1_5,"IABZ01110146.1_6,IABZ01102948.1_3",None
73,1049545,Neomysis awatschensis,79901,Mysidae,75399,Mysida,GDFV,PRJNA287057,None,None,GDFV01020647.1_1,None
74,1133412,Tigriopus kingsejongensis,512265,Harpacticidae,41212,Harpacticoida,GDFW,PRJNA283925,None,"GDFW01031643.1_1,GDFW01001547.1_1,GDFW01011880.1_1",None,None
