TSA,tsa_id,order,family,species,bioproject,biosample,clean_stage,clean_sex,oskar
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628930,adult,male,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628931,adult,male,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628932,adult,male,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628933,adult,male,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628934,adult,male,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628935,adult,male,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628936,adult,male,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628937,adult,male,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628938,adult,male,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628939,adult,male,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628940,adult,male,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628941,adult,male,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628942,adult,male,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628943,adult,male,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628944,adult,male,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628945,adult,male,not found
GFNA00000000.1,GFNA,Diptera,Culicidae,aedes_aegypti,PRJNA236239,SAMN02628946,adult,male,not found
GATU00000000.2,GATU,Ephemeroptera,Baetidae,baetis,PRJNA219528,SAMN02047149,adult,None,found
GEOL00000000.1,GEOL,Lepidoptera,Palaephatidae,metaphatus_ochraceus,PRJNA298054,SAMN04155516,adult,None,not found
GDFS00000000.1,GDFS,Hymenoptera,Vespidae,polistes_fuscatus,PRJNA287145,SAMN02869673,adult,female,found
GDFS00000000.1,GDFS,Hymenoptera,Vespidae,polistes_fuscatus,PRJNA287145,SAMN02869674,adult,female,found
GDFS00000000.1,GDFS,Hymenoptera,Vespidae,polistes_fuscatus,PRJNA287145,SAMN02869675,adult,female,found
GDFS00000000.1,GDFS,Hymenoptera,Vespidae,polistes_fuscatus,PRJNA287145,SAMN02869676,adult,female,found
GBPQ00000000.1,GBPQ,Hymenoptera,Sapygidae,sapygina_decemguttata,PRJNA252248,SAMN02870395,adult,undetermined sex,found
GAYO00000000.2,GAYO,Odonata,Cordulegastridae,cordulegaster_boltonii,PRJNA219542,SAMN02047156,adult,male,not found
GBNT00000000.1,GBNT,Hymenoptera,Ampulicidae,ampulex_compressa,PRJNA252218,SAMN02870206,adult,male,not found
GAYK00000000.2,GAYK,Mecoptera,Boreidae,boreus_hyemalis,PRJNA219533,SAMN02047129,juvenil,None,found
GCEQ00000000.1,GCEQ,Hymenoptera,Braconidae,psyttalia_lounsburyi,PRJNA262711,SAMN03085503,undetermined stage,female,not found
GALP00000000.1,GALP,Diptera,Drosophilidae,drosophila_miranda,PRJNA208862,SAMN02672503,adult,male,found
GALP00000000.1,GALP,Diptera,Drosophilidae,drosophila_miranda,PRJNA208862,SAMN02673369,adult,female,found
GALP00000000.1,GALP,Diptera,Drosophilidae,drosophila_miranda,PRJNA208862,SAMN02673370,adult,female,found
GALP00000000.1,GALP,Diptera,Drosophilidae,drosophila_miranda,PRJNA208862,SAMN02673371,adult,male,found
GALP00000000.1,GALP,Diptera,Drosophilidae,drosophila_miranda,PRJNA208862,SAMN02673372,adult,male,found
GALP00000000.1,GALP,Diptera,Drosophilidae,drosophila_miranda,PRJNA208862,SAMN02673373,adult,male,found
GALP00000000.1,GALP,Diptera,Drosophilidae,drosophila_miranda,PRJNA208862,SAMN02673374,adult,male,found
GALP00000000.1,GALP,Diptera,Drosophilidae,drosophila_miranda,PRJNA208862,SAMN02673377,adult,male,found
GALP00000000.1,GALP,Diptera,Drosophilidae,drosophila_miranda,PRJNA208862,SAMN02673378,larvae,undetermined sex,found
