TSA,tsa_id,tax_id,species,family_id,family_name,order_id,order_name,bioproject,biosample,keywords,raw_tissue,raw_sex,raw_stage,clean_tissue,clean_sex,clean_stage,brain,germline,egg,larvae,pupae,juvenil,adult
GDNA,GDNA00000000.1,110027,Noterus clavicornis,63901.0,Noteridae,7041,Coleoptera,PRJNA286561,SAMN03799605,"['whole organism', 'adult', 'not determined']",whole organism,not determined,adult,whole organism,undetermined sex,adult,0,0,0,0,0,0,1
GFUK,GFUK00000000.1,107881,Hygrobia hermanni,107878.0,Hygrobiidae,7041,Coleoptera,PRJNA392382,SAMN07297121,"['whole organism', 'adult', 'not determined']",whole organism,not determined,adult,whole organism,undetermined sex,adult,0,0,0,0,0,0,1
GFUI,GFUI00000000.1,107794,Liopterus haemorrhoidalis,50515.0,Dytiscidae,7041,Coleoptera,PRJNA392045,SAMN07280875,"['whole organism', 'not determined']",whole organism,not determined,None,whole organism,undetermined sex,None,0,0,0,0,0,0,0
GFUO,GFUO00000000.1,183865,Aspidytes niobe,183863.0,Aspidytidae,7041,Coleoptera,PRJNA391973,SAMN07279561,"['whole organism', 'adult', 'missing']",whole organism,missing,adult,whole organism,undetermined sex,adult,0,0,0,0,0,0,1
GFUH,GFUH00000000.1,159779,Amphizoa lecontei,107773.0,Amphizoidae,7041,Coleoptera,PRJNA392306,SAMN07289768,"['whole organism', 'adult', 'not determined']",whole organism,not determined,adult,whole organism,undetermined sex,adult,0,0,0,0,0,0,1
GFUJ,GFUJ00000000.1,207415,Batrachomatus nannup,50515.0,Dytiscidae,7041,Coleoptera,PRJNA392058,SAMN07280954,"['whole organism', 'not determined']",whole organism,not determined,None,whole organism,undetermined sex,None,0,0,0,0,0,0,0
GFUN,GFUN00000000.1,1048682,Hygrobia nigra,107878.0,Hygrobiidae,7041,Coleoptera,PRJNA392270,SAMN07287246,"['whole organism', 'adult', 'not determined']",whole organism,not determined,adult,whole organism,undetermined sex,adult,0,0,0,0,0,0,1
GCGW,GCGW00000000.1,1572531,Ortholfersia macleayi,81710.0,Hippoboscidae,7147,Diptera,PRJNA267975,SAMN03223137,"['whole organism', 'adult', 'not determined']",whole organism,not determined,adult,whole organism,undetermined sex,adult,0,0,0,0,0,0,1
GCNB,GCNB00000000.1,1572540,Stomorhina subapicalis,1902070.0,Rhiniidae,7147,Diptera,PRJNA267997,SAMN03223160,"['whole organism', 'adult', 'not determined']",whole organism,not determined,adult,whole organism,undetermined sex,adult,0,0,0,0,0,0,1
GCGA,GCGA00000000.1,1572521,Lispe sydneyensis,7366.0,Muscidae,7147,Diptera,PRJNA267956,SAMN03223118,"['whole organism', 'adult', 'not determined']",whole organism,not determined,adult,whole organism,undetermined sex,adult,0,0,0,0,0,0,1
