genome,taxId,species,familyId,familyName,orderId,orderName,bioproject,biosample
GCA_900068815.1,33429,Heliconius wallacei,33415,Nymphalidae,7088,Lepidoptera,PRJEB8011,SAMEA3670576
GCA_900068445.1,33425,Heliconius hecale,33415,Nymphalidae,7088,Lepidoptera,PRJEB8011,SAMEA3670533
GCA_900068735.1,33428,Heliconius pachinus,33415,Nymphalidae,7088,Lepidoptera,PRJEB8011,SAMEA3670565
GCA_900068705.1,310797,Heliconius numata,33415,Nymphalidae,7088,Lepidoptera,PRJEB8011,SAMEA3670562
GCA_900068335.1,1608916,Laparus doris,33415,Nymphalidae,7088,Lepidoptera,PRJEB8011,SAMEA3670519
GCA_900068465.1,33423,Heliconius heurippa,33415,Nymphalidae,7088,Lepidoptera,PRJEB8011,SAMEA3670535
GCA_900068475.1,171913,Heliconius hierax,33415,Nymphalidae,7088,Lepidoptera,PRJEB8011,SAMEA3670536
GCA_900068355.1,1756245,Heliconius elevatus,33415,Nymphalidae,7088,Lepidoptera,PRJEB8011,SAMEA3670521
GCA_900068455.1,1756246,Heliconius hecuba,33415,Nymphalidae,7088,Lepidoptera,PRJEB8011,SAMEA3670534
GCA_900068225.1,33457,Neruda aoede,33415,Nymphalidae,7088,Lepidoptera,PRJEB8011,SAMEA3670507
GCA_900068325.1,33455,Laparus doris,33415,Nymphalidae,7088,Lepidoptera,PRJEB8011,SAMEA3670518
GCA_002093875.1,52612,Calopteryx splendens,50489,Calopterygidae,6961,Odonata,PRJNA315816,SAMN04994746
GCA_002091835.1,74869,Anopheles maculatus,7157,Culicidae,7147,Diptera,PRJNA309622,SAMN04437154
GCA_002091845.1,123217,Anopheles cracens,7157,Culicidae,7147,Diptera,PRJNA309364,SAMN04432142
GCA_002009905.3,61476,Timema cristinae,213546,Timematidae,7020,Phasmatodea,PRJNA357256,SAMN06135417
GCA_001932985.1,1717472,Proctacanthus coquilletti,50673,Asilidae,7147,Diptera,PRJNA343047,SAMN05772833
GCA_900005825.1,568069,Clunio marinus,7149,Chironomidae,7147,Diptera,PRJEB8339,SAMEA3334632
GCA_001855655.1,63434,Leptopilina clavipes,44353,Figitidae,7399,Hymenoptera,PRJNA84205,SAMN02047179
GCA_001752445.1,76712,Zaprionus indianus,7214,Drosophilidae,7147,Diptera,PRJNA317406,SAMN04606833
GCA_001735585.1,7380,Phormia regina,7371,Calliphoridae,7147,Diptera,PRJNA338752,SAMN05567885
GCA_900080175.1,490976,Trabutina mannipara,30190,Pseudococcidae,7524,Hemiptera,PRJEB13573,SAMEA3935977
GCA_001676475.1,552050,Isoperla grammatica,50623,Perlodidae,50622,Plecoptera,PRJNA315680,SAMN04568202
GCA_001676355.1,189839,Baetis rhodani,172515,Baetidae,30073,Ephemeroptera,PRJNA315680,SAMN04568203
GCA_001676325.1,143724,Amphinemura sulcicollis,62802,Nemouridae,50622,Plecoptera,PRJNA315680,SAMN04568201
GCA_001675545.1,217443,Cotesia vestalis,7402,Braconidae,7399,Hymenoptera,PRJNA307296,SAMN04378091
GCA_001663875.1,757355,Cimex hemipterus,30078,Cimicidae,7524,Hemiptera,PRJNA308532,SAMN04396785
GCA_001625245.1,691633,Calycopis cecrops,27544,Lycaenidae,7088,Lepidoptera,PRJNA314404,SAMN04534834
GCA_900050545.1,1295211,Trionymus perrisii,30190,Pseudococcidae,7524,Hemiptera,PRJEB12071,SAMEA3699109
GCA_900064465.1,177089,Maconellicoccus hirsutus,30190,Pseudococcidae,7524,Hemiptera,PRJEB12066,SAMEA3699093
GCA_900064475.1,13233,Pseudococcus longispinus,30190,Pseudococcidae,7524,Hemiptera,PRJEB12068,SAMEA3699095
GCA_900065295.1,252483,Paracoccus marginatus,30190,Pseudococcidae,7524,Hemiptera,PRJEB12069,SAMEA3699096
GCA_900060175.1,223228,Ferrisia virgata,30190,Pseudococcidae,7524,Hemiptera,PRJEB12067,SAMEA3699094
GCA_001586405.1,40077,Phoebis sennae,7114,Pieridae,7088,Lepidoptera,PRJNA308118,SAMN04386831
GCA_001542645.1,7165,Anopheles gambiae,7157,Culicidae,7147,Diptera,PRJNA254152,SAMN02943153
GCA_001510935.1,248310,Heliconius melpomene,33415,Nymphalidae,7088,Lepidoptera,PRJEB8011,SAMEA3670550
GCA_001510915.1,1501340,Heliconius cydno,33415,Nymphalidae,7088,Lepidoptera,PRJEB8011,SAMEA3670514
GCA_001486765.1,884342,Heliconius pardalinus,33415,Nymphalidae,7088,Lepidoptera,PRJEB8011,SAMEA3670566
GCA_001486745.1,884341,Heliconius numata,33415,Nymphalidae,7088,Lepidoptera,PRJEB8011,SAMEA1094469
GCA_001486725.1,1077261,Heliconius numata,33415,Nymphalidae,7088,Lepidoptera,PRJEB8011,SAMEA1094486
GCA_001486705.1,101932,Heliconius timareta,33415,Nymphalidae,7088,Lepidoptera,PRJEB8011,SAMEA1094480
GCA_001486685.1,1109113,Heliconius timareta,33415,Nymphalidae,7088,Lepidoptera,PRJEB8011,SAMEA1094489
GCA_001486645.1,573616,Heliconius timareta,33415,Nymphalidae,7088,Lepidoptera,PRJEB8011,SAMEA1322862
GCA_001486605.1,1109112,Heliconius pardalinus,33415,Nymphalidae,7088,Lepidoptera,PRJEB8011,SAMEA1322861
GCA_001486465.1,573617,Heliconius timareta,33415,Nymphalidae,7088,Lepidoptera,PRJEB8011,SAMEA1094490
GCA_001486245.1,884340,Heliconius numata,33415,Nymphalidae,7088,Lepidoptera,PRJEB8011,SAMEA1094475
GCA_001486145.1,248312,Heliconius melpomene,33415,Nymphalidae,7088,Lepidoptera,PRJEB8011,SAMEA1094479
GCA_001486125.1,1109109,Heliconius hecale,33415,Nymphalidae,7088,Lepidoptera,PRJEB8011,SAMEA1322925
GCA_001486105.1,248311,Heliconius melpomene,33415,Nymphalidae,7088,Lepidoptera,PRJEB8011,SAMEA3670538
GCA_001485985.1,441047,Heliconius ethilla,33415,Nymphalidae,7088,Lepidoptera,PRJEB8011,SAMEA1919250
GCA_001485965.1,33427,Heliconius ismenius,33415,Nymphalidae,7088,Lepidoptera,PRJEB8011,SAMEA3670537
GCA_001485905.1,33418,Heliconius ethilla,33415,Nymphalidae,7088,Lepidoptera,PRJEB8011,SAMEA3670529
GCA_001485865.1,328831,Heliconius cydno,33415,Nymphalidae,7088,Lepidoptera,PRJEB8011,SAMEA1094477
GCA_001485725.1,1109111,Heliconius ismenius,33415,Nymphalidae,7088,Lepidoptera,PRJEB8011,SAMEA1094483
GCA_000376725.1,123851,Ladona fulva,6964,Libellulidae,6961,Odonata,PRJNA194433,SAMN02178325
GCA_001443705.1,1629725,Oryctes borbonicus,7055,Scarabaeidae,7041,Coleoptera,PRJNA293509,SAMN04005096
GCA_000349045.1,30069,Anopheles stephensi,7157,Culicidae,7147,Diptera,PRJNA191554,SAMN02953837
GCA_000349065.1,34691,Anopheles quadriannulatus,7157,Culicidae,7147,Diptera,PRJNA191558,SAMN02953838
GCA_000349085.1,62324,Anopheles funestus,7157,Culicidae,7147,Diptera,PRJNA67223,SAMN01087923
GCA_000349105.1,199890,Anopheles epiroticus,7157,Culicidae,7147,Diptera,PRJNA191562,SAMN01087920
GCA_000349145.1,7168,Anopheles dirus,7157,Culicidae,7147,Diptera,PRJNA67231,SAMN02953840
GCA_000349165.1,43041,Anopheles christyi,7157,Culicidae,7147,Diptera,PRJNA191564,SAMN02953841
GCA_000349185.1,7173,Anopheles arabiensis,7157,Culicidae,7147,Diptera,PRJNA191565,SAMN02953842
GCA_000349025.1,112268,Anopheles minimus,7157,Culicidae,7147,Diptera,PRJNA67225,SAMN02953845
GCA_000346575.1,88501,Lasioglossum albipes,77572,Halictidae,7399,Hymenoptera,PRJNA174755,
GCA_001404035.1,114634,Nasutitermes exitiosus,46569,Termitidae,85823,Blattodea,PRJEB8629,SAMEA3267259
GCA_000326025.1,171917,Heliconius melpomene,33415,Nymphalidae,7088,Lepidoptera,PRJEA71053,SAMEA2272543
GCA_001276565.1,166423,Melipona quadrifasciata,7458,Apidae,7399,Hymenoptera,PRJNA279820,SAMN03837634
GCA_001278395.1,691651,Lerema accius,40093,Hesperiidae,7088,Lepidoptera,PRJNA283224,SAMN03610455
GCA_001266575.1,104452,Operophtera brumata,82593,Geometridae,7088,Lepidoptera,PRJNA263715,SAMN03121611
GCA_001245395.1,40366,Drosophila americana,7214,Drosophilidae,7147,Diptera,PRJEB9848,SAMEA3481913
GCA_001187945.1,7375,Lucilia cuprina,7371,Calliphoridae,7147,Diptera,PRJNA248412,SAMN02798242
GCA_000298335.1,7291,Drosophila albomicans,7214,Drosophilidae,7147,Diptera,PRJNA39511,SAMN00003213
GCA_000281935.1,1155016,Mengenilla moldrzyki,50600,Mengenillidae,30261,Strepsiptera,PRJNA72521,SAMN00715019
GCA_000281835.1,50550,Priacma serrata,50548,Cupedidae,7041,Coleoptera,PRJNA74387,SAMN02953805
GCA_000265325.1,7200,Lutzomyia longipalpis,7197,Psychodidae,7147,Diptera,PRJNA20279,SAMN00008955
GCA_000262585.1,7130,Manduca sexta,7128,Sphingidae,7088,Lepidoptera,PRJNA81037,SAMN00779869
GCA_000262795.1,29031,Phlebotomus papatasi,7197,Psychodidae,7147,Diptera,PRJNA20293,SAMN02953817
GCA_000341915.2,36166,Megaselia scalaris,36164,Phoridae,7147,Diptera,PRJEB1273,SAMEA2272308
GCA_001077435.1,37546,Glossina morsitans,7392,Glossinidae,7147,Diptera,PRJEA59499,SAMEA3146294
GCA_001047195.1,1577618,Sarcophagidae sp. BV-2014,7381,Sarcophagidae,7147,Diptera,PRJNA268391,SAMN03285074
GCA_001045655.1,67767,Lasius niger,36668,Formicidae,7399,Hymenoptera,PRJNA269328,SAMN03253098
GCA_001017535.1,312236,Tipula oleracea,41042,Tipulidae,7147,Diptera,PRJNA268391,SAMN03283201
GCA_001017515.1,594049,Tephritis californica,7211,Tephritidae,7147,Diptera,PRJNA268391,SAMN03282621
GCA_001017455.1,7385,Neobellieria bullata,7381,Sarcophagidae,7147,Diptera,PRJNA268391,SAMN03282437
GCA_001017275.1,7373,Calliphora vicina,7371,Calliphoridae,7147,Diptera,PRJNA268391,SAMN03276989
GCA_001015235.1,139677,Sphyracephala brevicornis,139644,Diopsidae,7147,Diptera,PRJNA268391,SAMN03282443
GCA_001015215.1,1577617,Holcocephala fusca,50673,Asilidae,7147,Diptera,PRJNA268391,SAMN03280978
GCA_001015175.1,88686,Megaselia abdita,36164,Phoridae,7147,Diptera,PRJNA268391,SAMN03280980
GCA_001015145.1,1352481,Eristalis dimidiata,34680,Syrphidae,7147,Diptera,PRJNA268391,SAMN03278632
GCA_001015115.1,1577624,Eutreta diana,7211,Tephritidae,7147,Diptera,PRJNA268391,SAMN03278126
GCA_001015075.1,1577616,Cirrula hians,48991,Ephydridae,7147,Diptera,PRJNA268391,SAMN03276937
GCA_001014945.1,85120,Clogmia albipunctata,7197,Psychodidae,7147,Diptera,PRJNA268391,SAMN03277118
GCA_001014935.1,198433,Liriomyza trifolii,127399,Agromyzidae,7147,Diptera,PRJNA268391,SAMN03274827
GCA_001014895.1,343691,Hermetia illucens,34687,Stratiomyidae,7147,Diptera,PRJNA268391,SAMN03285036
GCA_001014875.1,1577614,Condylostylus patibulatus,92558,Dolichopodidae,7147,Diptera,PRJNA268391,SAMN03277208
GCA_001014845.1,1577623,Mochlonyx cinctipes,41811,Chaoboridae,7147,Diptera,PRJNA268391,SAMN03281030
GCA_001014835.1,13632,Lucilia sericata,7371,Calliphoridae,7147,Diptera,PRJNA268391,SAMN03280979
GCA_001014815.1,204567,Chaoborus trivitattus,41811,Chaoboridae,7147,Diptera,PRJNA268391,SAMN03277052
